Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,1825,1427913.2685,331852.98301,281323.47671
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,40,596497.375,143013.175,118448.15
National,,National,003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",11042,923984.47328,208863.46975,181412.09871
National,,National,004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",11255,567503.5458,125047.33221,109012.65135
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1167,736809.36761,148050.96915,116323.88003
National,,National,006,LIVER TRANSPLANT WITHOUT MCC,332,423139.1988,70743.406627,44805.081325
National,,National,007,LUNG TRANSPLANT,595,941173.24874,156459.7395,126867.35462
National,,National,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,243,524636.91358,81052.613169,49783.888889
National,,National,010,PANCREAS TRANSPLANT,23,409877.43478,69397.391304,43395.130435
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1661,247159.56412,57523.162553,48154.66165
National,,National,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1527,201779.71709,44944.109365,34989.075311
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",383,127261.7389,29504.960836,22754.368146
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,1035,572967.41546,143401.90048,116064.76039
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,1954,259642.82549,71746.364381,57194.868475
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,39,336318.07692,44820.102564,34638.974359
National,,National,018,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,1271,1788160.1094,404089.83084,376628.96932
National,,National,019,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,78,638293.52564,103428.33333,67255.166667
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,2176,386392.63235,99728.525735,87189.909467
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,629,275065.84261,69736.777424,59142.993641
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,319,151403.96865,43701.626959,36871.040752
National,,National,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,12293,250050.68917,53401.223135,46242.238184
National,,National,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,4707,166108.91672,35762.65222,29837.805184
National,,National,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,22576,202697.88696,43647.858434,36956.090583
National,,National,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,6443,143222.53702,29654.141549,24599.592581
National,,National,027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,7703,120665.07166,24510.442425,19896.601065
National,,National,028,SPINAL PROCEDURES WITH MCC,2270,262912.41366,57124.551982,48200.777974
National,,National,029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3119,156288.72042,32253.23982,26990.707919
National,,National,030,SPINAL PROCEDURES WITHOUT CC/MCC,989,105230.82811,21974.151668,17112.78362
National,,National,031,VENTRICULAR SHUNT PROCEDURES WITH MCC,931,179732.50913,41672.640172,35309.804511
National,,National,032,VENTRICULAR SHUNT PROCEDURES WITH CC,1835,99407.465395,20441.764033,16882.506267
National,,National,033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,2369,76444.61545,15849.752638,13192.995779
National,,National,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,1741,170527.48708,35964.965537,31600.160253
National,,National,035,CAROTID ARTERY STENT PROCEDURES WITH CC,4660,99618.122747,19555.731974,16930.045708
National,,National,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,6780,76461.507375,15272.15354,12865.999558
National,,National,037,EXTRACRANIAL PROCEDURES WITH MCC,2725,152826.20367,30195.461284,26326.063853
National,,National,038,EXTRACRANIAL PROCEDURES WITH CC,8044,78705.951392,14357.411363,11645.889607
National,,National,039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,14102,56597.794497,9735.9495816,7388.4636222
National,,National,040,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",3708,172096.54558,37106.435814,31586.553668
National,,National,041,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",4920,104453.82175,21157.567276,17140.097561
National,,National,042,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",1641,86544.6234,17494.26752,13611.659354
National,,National,052,SPINAL DISORDERS AND INJURIES WITH CC/MCC,989,91574.942366,20202.857432,16206.466127
National,,National,053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,203,44583.522167,11462.965517,8967.8522167
National,,National,054,NERVOUS SYSTEM NEOPLASMS WITH MCC,11081,67262.007761,13780.843787,10689.085281
National,,National,055,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,2618,51234.488923,10208.859817,7891.9778457
National,,National,056,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,13795,88321.88822,21167.556506,17691.322073
National,,National,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,23859,51951.589254,12666.99539,10235.14066
National,,National,058,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,891,75461.803591,18512.476992,14579.600449
National,,National,059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,1694,54160.091499,11769.084416,8557.6995277
National,,National,060,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,1077,42716.03714,9411.538533,6468.0965645
National,,National,061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",4762,134750.82717,25855.838513,22522.164007
National,,National,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",7961,96148.359628,17415.188293,14076.406733
National,,National,063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",1541,78738.898118,15407.425049,11587.763141
National,,National,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,71695,87736.785592,17842.340135,14895.015845
National,,National,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,76588,50056.84038,9312.0623858,7070.4626704
National,,National,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,20126,38433.231193,6792.513962,4609.2884826
National,,National,067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,1201,69122.207327,13227.261449,11062.027477
National,,National,068,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,3902,48152.761404,8077.9846233,6144.9113275
National,,National,069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,27223,44548.925541,7217.2015575,5443.3862543
National,,National,070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,17165,71521.581707,15622.296417,13168.139237
National,,National,071,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,15733,45913.435963,9340.1025234,7418.8618827
National,,National,072,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,2822,39494.308292,7206.7473423,5309.4103473
National,,National,073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,5359,66786.373577,14821.718604,12081.171487
National,,National,074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,10944,48589.624086,9934.698739,7571.4403326
